case_id,transcript_cap_count,reference_cap_count,cluster_count,reference_cluster_count,concept_precision,concept_recall,concept_f1,state_precision,state_recall,state_f1,transcript_cap_runtime_seconds,reference_cap_runtime_seconds
D2N094,13,5,10,5,0.1,0.2,0.1333,0.1,0.2,0.1333,48.617,43.852
D2N049,24,37,15,32,0.5333,0.25,0.3404,0.4667,0.2188,0.2979,86.222,89.968
D2N198,16,7,13,7,0.0769,0.1429,0.1,0.0769,0.1429,0.1,42.949,15.312
D2N114,11,12,11,10,0.1818,0.2,0.1905,0.1818,0.2,0.1905,25.941,19.508
D2N066,35,20,24,18,0.1667,0.2222,0.1905,0.0417,0.0556,0.0476,46.21,29.019
D2N031,49,29,42,24,0.0952,0.1667,0.1212,0.0,0.0,0.0,147.155,33.612
D2N136,17,19,15,18,0.4667,0.3889,0.4242,0.3333,0.2778,0.303,28.837,25.045
D2N181,35,5,23,5,0.1304,0.6,0.2143,0.087,0.4,0.1429,50.08,20.235
D2N050,21,18,17,17,0.2353,0.2353,0.2353,0.2353,0.2353,0.2353,27.686,19.511
D2N010,18,0,17,0,0.0,0.0,0.0,0.0,0.0,0.0,34.829,11.258
D2N153,21,14,17,14,0.1765,0.2143,0.1935,0.0588,0.0714,0.0645,38.515,16.603
D2N083,16,11,10,8,0.3,0.375,0.3333,0.2,0.25,0.2222,24.387,14.85
D2N173,22,14,18,12,0.1111,0.1667,0.1333,0.0556,0.0833,0.0667,34.027,22.548
D2N017,11,12,11,12,0.5455,0.5,0.5217,0.2727,0.25,0.2609,21.754,12.652
D2N203,13,8,11,8,0.1818,0.25,0.2105,0.1818,0.25,0.2105,27.71,13.49
D2N143,18,8,18,8,0.3889,0.875,0.5385,0.3333,0.75,0.4615,25.563,10.091
D2N149,27,23,18,22,0.3333,0.2727,0.3,0.1111,0.0909,0.1,66.445,33.362
D2N016,26,16,18,14,0.4444,0.5714,0.5,0.2222,0.2857,0.25,51.522,25.113
D2N154,27,22,20,22,0.3,0.2727,0.2857,0.25,0.2273,0.2381,43.27,17.971
D2N206,13,7,9,6,0.1111,0.1667,0.1333,0.0,0.0,0.0,25.069,15.744
D2N185,42,6,32,6,0.0312,0.1667,0.0526,0.0312,0.1667,0.0526,88.624,17.372
D2N008,23,13,17,12,0.3529,0.5,0.4138,0.2353,0.3333,0.2759,33.956,21.82
D2N100,11,6,9,4,0.1111,0.25,0.1538,0.1111,0.25,0.1538,21.474,14.743
D2N018,36,23,24,20,0.4167,0.5,0.4545,0.25,0.3,0.2727,53.998,18.716
D2N087,31,17,25,17,0.04,0.0588,0.0476,0.04,0.0588,0.0476,55.709,27.897
D2N103,17,12,15,10,0.3333,0.5,0.4,0.2667,0.4,0.32,31.817,23.431
D2N036,18,13,12,13,0.0833,0.0769,0.08,0.0,0.0,0.0,55.908,17.045
D2N030,37,4,29,4,0.0,0.0,0.0,0.0,0.0,0.0,64.379,18.514
D2N179,23,17,20,17,0.2,0.2353,0.2162,0.2,0.2353,0.2162,35.168,22.607
D2N080,25,4,17,4,0.0,0.0,0.0,0.0,0.0,0.0,64.857,17.057
D2N189,18,23,14,18,0.3571,0.2778,0.3125,0.3571,0.2778,0.3125,55.594,28.009
D2N035,22,13,19,13,0.0,0.0,0.0,0.0,0.0,0.0,37.666,20.769
D2N178,60,38,51,29,0.1569,0.2759,0.2,0.098,0.1724,0.125,83.989,41.667
D2N133,11,7,8,5,0.5,0.8,0.6154,0.375,0.6,0.4615,29.461,18.116
D2N026,25,32,20,29,0.15,0.1034,0.1224,0.1,0.069,0.0816,51.836,31.943
D2N060,9,16,8,16,0.0,0.0,0.0,0.0,0.0,0.0,17.604,23.975
D2N207,39,12,30,10,0.1333,0.4,0.2,0.0667,0.2,0.1,54.333,24.189
D2N084,19,10,15,10,0.2,0.3,0.24,0.1333,0.2,0.16,31.797,19.974
D2N113,23,16,19,14,0.1053,0.1429,0.1212,0.0526,0.0714,0.0606,34.83,23.19
D2N108,16,21,12,20,0.4167,0.25,0.3125,0.1667,0.1,0.125,25.562,20.475
D2N187,10,1,9,1,0.0,0.0,0.0,0.0,0.0,0.0,17.858,9.156
D2N192,34,34,26,34,0.1923,0.1471,0.1667,0.1538,0.1176,0.1333,67.49,34.201
D2N109,12,15,11,15,0.1818,0.1333,0.1538,0.0909,0.0667,0.0769,25.675,23.052
D2N165,26,19,19,18,0.2105,0.2222,0.2162,0.1053,0.1111,0.1081,47.625,22.392
D2N067,41,10,25,9,0.08,0.2222,0.1176,0.04,0.1111,0.0588,70.544,15.572
D2N175,15,11,11,11,0.1818,0.1818,0.1818,0.0909,0.0909,0.0909,32.669,20.604
D2N043,24,6,20,6,0.05,0.1667,0.0769,0.05,0.1667,0.0769,46.35,18.393
D2N107,18,8,8,5,0.125,0.2,0.1538,0.125,0.2,0.1538,30.277,12.939
D2N102,24,13,17,10,0.0588,0.1,0.0741,0.0588,0.1,0.0741,27.138,22.019
D2N106,25,19,17,17,0.3529,0.3529,0.3529,0.2353,0.2353,0.2353,39.109,19.774
D2N121,23,10,16,9,0.0625,0.1111,0.08,0.0625,0.1111,0.08,33.73,20.3
D2N159,22,7,15,6,0.2667,0.6667,0.381,0.2667,0.6667,0.381,33.758,20.418
D2N064,12,16,11,14,0.0,0.0,0.0,0.0,0.0,0.0,82.549,69.969
D2N023,28,12,20,12,0.1,0.1667,0.125,0.05,0.0833,0.0625,56.813,17.959
D2N124,6,18,6,16,0.0,0.0,0.0,0.0,0.0,0.0,14.502,19.038
D2N072,11,14,10,12,0.2,0.1667,0.1818,0.1,0.0833,0.0909,34.292,16.527
D2N006,43,17,33,9,0.2727,1.0,0.4286,0.2727,1.0,0.4286,57.366,25.882
D2N092,12,11,10,11,0.2,0.1818,0.1905,0.0,0.0,0.0,66.694,22.941
D2N090,27,13,24,11,0.2083,0.4545,0.2857,0.0833,0.1818,0.1143,164.829,41.017
D2N073,29,29,27,28,0.3704,0.3571,0.3636,0.2593,0.25,0.2545,121.809,63.286
D2N115,19,5,10,1,0.1,1.0,0.1818,0.1,1.0,0.1818,52.542,16.289
